Day;Brand;People;Engage;Links;Total Sector;Total Network;Best Sector;Best Network
2021-06-22;9,56;15,63;13,54;3,77;29;35;28;31
2021-06-24;9,56;15,63;14;3,84;29;35;27;31
2021-06-25;9,56;15,63;14;3,84;29;35;27;31
2021-06-26;9,56;15,63;14,28;3,87;29;35;27;31
2021-06-27;9,56;15,61;14,18;3,88;29;35;27;31
2021-06-28;9,56;15,61;14,14;3,9;29;35;27;31
2021-06-29;9,56;15,99;14,39;3,91;29;35;26;30
2021-06-30;9,56;15,99;14,47;4,09;29;35;25;29
2021-07-01;9,56;15,99;14,3;4,22;29;35;26;30
2021-07-02;9,56;15,99;14,38;4,27;29;35;25;30
2021-07-03;9,56;15,89;14,3;4,23;29;35;26;29
2021-07-04;9,56;15,89;14,3;4,27;29;35;26;30
2021-07-07;9,56;15,77;14,3;4,31;29;35;26;29
2021-07-08;9,56;15,77;14,3;4,33;29;35;26;29
2021-07-09;9,56;15,73;14,3;4,33;29;35;26;29
2021-07-10;9,56;15,73;14,3;4,33;29;35;26;29
2021-07-11;9,56;15,75;13,89;4,37;29;35;26;28
2021-07-12;9,56;15,69;13,95;4,37;29;34;26;27
2021-07-13;9,56;15,65;13,95;4,37;29;34;26;27
2021-07-14;9,56;15,71;14,06;4,52;29;34;25;28
2021-07-15;9,56;15,71;14,15;4,59;29;35;25;28
2021-07-16;9,56;15,71;14,06;4,63;29;35;25;28
2021-07-19;9,56;15,01;13,84;4,67;29;34;27;30
2021-07-20;9,56;14,89;13,84;4,67;29;34;27;29
2021-07-21;9,56;14,79;13,95;4,69;29;34;27;29
2021-07-22;9,56;14,96;14,05;4,69;29;34;26;29
2021-07-23;9,56;14,96;14,05;4,69;29;34;26;28
2021-07-24;9,56;14,66;13,72;4,69;29;34;27;29
2021-07-26;9,56;14,24;13,67;4,69;29;34;28;30
2021-07-27;9,56;14,13;13,55;4,69;29;34;28;30
2021-07-28;9,56;14,28;13,72;4,77;29;34;28;29
2021-07-29;9,56;13,82;13,84;4,77;29;34;28;30
2021-07-30;9,56;13,6;13,55;4,77;29;34;29;32
2021-08-01;9,56;13,6;13,01;4,77;29;34;30;33
2021-08-02;9,56;13,4;13,01;4,77;29;34;30;33
2021-08-03;9,56;13,8;13,01;4,77;29;33;29;32
2021-08-04;9,56;14,32;13,25;4,92;29;34;28;28
2021-08-05;13,31;14,14;13,25;4,92;29;34;23;25
2021-08-06;13,31;14;13,25;4,92;29;34;23;25
2021-08-10;13,31;13,97;13,13;4,92;29;33;23;24
2021-08-11;13,31;13,97;13,13;4,92;29;33;23;24
2021-08-12;13,31;14,08;13,19;4,94;29;33;23;22
2021-08-13;13,31;13,71;12,5;4,95;29;33;24;24
2021-08-14;13,31;13,78;12,5;4,97;29;33;24;24
2021-08-15;13,31;13,78;12,58;4,97;29;33;24;24
2021-08-16;13,31;13,73;12,35;4,97;29;33;24;24
2021-08-17;13,31;13,73;12,35;4,97;29;33;24;24
2021-08-19;13,31;13,77;12,35;4,97;29;33;24;24
2021-08-20;13,31;12,39;12,2;5;29;33;27;26
2021-08-21;13,31;11,97;12,05;5,02;29;33;28;27
2021-08-22;13,31;12,02;12,05;5,02;29;33;27;27
2021-08-23;13,31;11,98;11,7;5,02;29;33;28;29
2021-08-24;13,31;11,83;11,7;5,02;29;33;28;29
2021-08-25;13,31;11,83;11,7;5,09;29;33;28;29
2021-08-26;13,31;12,01;11,7;5,09;29;33;28;28
2021-08-27;13,31;12,09;11,72;5,09;29;33;28;28
2021-08-28;13,31;12,27;11,19;5,09;29;33;28;28
2021-08-29;13,31;12,32;11,19;5,09;29;33;28;28
2021-08-30;13,31;12,04;9,74;5,09;29;33;31;30
2021-08-31;13,31;12,04;9,74;5,09;29;32;31;30
2021-09-01;13,31;12,1;9,39;5,09;29;33;31;31
2021-09-02;13,31;12,15;9,93;5,1;29;33;30;30
2021-09-03;13,31;9,77;10,62;5,12;29;33;33;34
2021-09-04;13,31;9,73;10,17;5,12;29;33;34;35
2021-09-05;13,31;9,39;10,17;5,12;29;33;34;37
2021-09-06;13,31;9,12;10,17;5,12;29;33;34;38
2021-09-07;13,31;9,1;10,17;5,12;29;33;34;38
2021-09-08;13,31;9,21;10,17;5,12;29;33;34;38
2021-09-26;11,43;7,64;8,89;5,12;29;34;42;48
2021-09-27;11,43;7,84;8,89;5,12;29;34;41;46
2021-09-28;11,43;7,72;8,89;5,12;29;34;41;46
2021-09-29;11,43;7,84;8,89;5,12;29;34;41;46
2021-10-01;11,43;7,74;8,54;5,12;29;34;42;46
2021-10-03;11,43;7,48;3,05;5,12;29;34;50;62
